"TRE ACR Report"
"PORTFOLIO","POS_CUR_PAR","POS_DATE","POS_FACE","MKT_PRICE","SOURCE","CLIENT_SEC_TYPE","SEC_CURRENCY","CLIENT_ID","BOOK_TYPE","BOOK_PRICE","BOOK_FX_RATE","BOOK_VALUE","BOOK_DATE","BOOK_TYPE_2","BOOK_PRICE_2","BOOK_VALUE_2","BOOK_DATE_2","BOOK_TYPE_3","BOOK_PRICE_3","BOOK_VALUE_3","BOOK_DATE_3","BOOK_YIELD","BOOK_YIELD_2","BOOK_YIELD_3","STRATEGY"
"JPDACRTRE","61,215,776.98","06/02/2020","67,160,150.00","100.043728600000000","ACR","LOAN","USD","ACR003419","","","","","","","","","","","","","","","","",""
"JPDACRTRE","46,069,867.49","06/02/2020","49,520,261.49","101.091272800000000","ACR","LOAN","USD","ACR003564","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","1,018,178.57","","ACR","LOAN","USD","ACR004764","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","928,134.15","","ACR","LOAN","USD","ACR004850","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR004851","","","","","","","","","","","","","","","","",""
"JPDACRTRE","36,328,016.54","06/02/2020","51,706,149.00","100.815328600000000","ACR","LOAN","USD","ACR004990","","","","","","","","","","","","","","","","",""
"USDACRTRE","17,564,649.63","06/02/2020","25,000,000.00","100.815321700000000","ACR","LOAN","USD","ACR005033","","","","","","","","","","","","","","","","","FHLA8"
"USDACRTRE","0.00","06/02/2020","407,271.43","","ACR","LOAN","USD","ACR005127","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR005128","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","26,107.14","","ACR","LOAN","USD","ACR005154","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","10,442.86","","ACR","LOAN","USD","ACR005155","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","229,749.62","","ACR","LOAN","USD","ACR005169","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","45,949.92","","ACR","LOAN","USD","ACR005170","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","429,026.96","","ACR","LOAN","USD","ACR005217","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","2,813,291.00","","ACR","LOAN","USD","ACR005331","","","","","","","","","","","","","","","","",""
"JPDACRTRE","39,250,000.00","06/02/2020","39,250,000.00","99.961089770000000","ACR","LOAN","USD","ACR005390","","","","","","","","","","","","","","","","",""
"JPDACRTRE","48,755,000.00","06/02/2020","48,755,000.00","100.091829800000000","ACR","LOAN","USD","ACR005432","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","72,136.00","","ACR","LOAN","USD","ACR005460","","","","","","","","","","","","","","","","",""
"JPDACRTRE","30,996,444.00","06/02/2020","30,996,444.00","100.096569200000000","ACR","LOAN","USD","ACR005468","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR005514","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR005515","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR005516","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR005517","","","","","","","","","","","","","","","","",""
"JPDACRTRE","51,500,000.00","06/02/2020","51,500,000.00","100.064523300000000","ACR","LOAN","USD","ACR005519","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","404,209.00","","ACR","LOAN","USD","ACR005528","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","10,364.00","","ACR","LOAN","USD","ACR005529","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","642,841.59","","ACR","LOAN","USD","ACR005593","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","307,559.34","","ACR","LOAN","USD","ACR005594","","","","","","","","","","","","","","","","",""
"USDACRTRE","14,828,556.00","06/02/2020","14,828,556.00","100.096266000000000","ACR","LOAN","USD","ACR005659","","","","","","","","","","","","","","","","","FHLA9"
"JPDACRTRE","794,781.00","06/02/2020","794,781.00","100.000000000000000","ACR","LOAN","USD","ACR005738","","","","","","","","","","","","","","","","",""
"USDACRTRE","380,219.00","06/02/2020","380,219.00","100.000000000000000","ACR","LOAN","USD","ACR005740","","","","","","","","","","","","","","","","","FHLA9"
"USDACRTRE","25,000,000.00","06/02/2020","25,000,000.00","100.091774500000000","ACR","LOAN","USD","ACR005743","","","","","","","","","","","","","","","","","FHLA1"
"JPDACRTRE","0.00","06/02/2020","19,657,444.00","","ACR","LOAN","USD","ACR005821","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","6,552,481.00","","ACR","LOAN","USD","ACR005896","","","","","","","","","","","","","","","","",""
"USDACRTRE","4,531,840.36","06/02/2020","5,000,000.00","100.068888900000000","ACR","LOAN","USD","ACR005979","","","","","","","","","","","","","","","","",""
"JPDACRTRE","67,250,413.36","06/02/2020","69,421,000.00","100.060797600000000","ACR","LOAN","USD","ACR005983","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","0.00","99.973385950000000","ACR","LOAN","USD","ACR006058","","","","","","","","","","","","","","","","",""
"USDACRTRE","9,737,764.47","06/02/2020","10,000,000.00","100.066743200000000","ACR","LOAN","USD","ACR006075","","","","","","","","","","","","","","","","",""
"JPDACRTRE","108,781,230.72","06/02/2020","119,632,500.00","100.079538600000000","ACR","LOAN","USD","ACR006089","","","","","","","","","","","","","","","","",""
"JPDACRTRE","45,942,610.56","06/02/2020","46,068,750.00","99.833622280000000","ACR","LOAN","USD","ACR006114","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","4,122,484.70","99.977092130000000","ACR","LOAN","USD","ACR006150","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","585,413.71","99.977083190000000","ACR","LOAN","USD","ACR006154","","","","","","","","","","","","","","","","",""
"JPDACRTRE","23,466,954.00","06/02/2020","23,466,954.00","100.067419000000000","ACR","LOAN","USD","ACR006155","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","4,252,180.06","","ACR","LOAN","USD","ACR006170","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","1,924,994.89","","ACR","LOAN","USD","ACR006171","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","9,339,056.00","","ACR","LOAN","USD","ACR006197","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","3,113,019.00","","ACR","LOAN","USD","ACR006198","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","684,783.58","","ACR","LOAN","USD","ACR006203","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","445,273.11","","ACR","LOAN","USD","ACR006214","","","","","","","","","","","","","","","","",""
"USDACRTRE","9,541,273.56","06/02/2020","10,000,000.00","100.036003800000000","ACR","LOAN","USD","ACR006283","","","","","","","","","","","","","","","","","FHLA10"
"JPDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR006284","","","","","","","","","","","","","","","","",""
"USDACRTRE","8,865,625.56","06/02/2020","9,750,000.00","100.080315800000000","ACR","LOAN","USD","ACR006297","","","","","","","","","","","","","","","","","FHLA6"
"JPDACRTRE","2,789,262.16","06/02/2020","3,067,500.00","100.000000000000000","ACR","LOAN","USD","ACR006298","","","","","","","","","","","","","","","","",""
"USDACRTRE","227,324.00","06/02/2020","250,000.00","100.000000000000000","ACR","LOAN","USD","ACR006299","","","","","","","","","","","","","","","","","FHLA6"
"USDACRTRE","6,265,281.17","06/02/2020","6,734,518.51","101.041797600000000","ACR","LOAN","USD","ACR006336","","","","","","","","","","","","","","","","",""
